Date,Vaccinated_people,Confirmed_cases
7/15/2021,97952,2473
7/16/2021,82549,2895
7/17/2021,87385,3118
7/18/2021,123250,3126
7/19/2021,121732,2070
7/20/2021,136349,3555
7/21/2021,147088,4254
7/22/2021,162566,5056
7/23/2021,121251,5142
7/24/2021,83824,5138
7/25/2021,148473,4742
7/26/2021,148268,3115
7/27/2021,165209,4516
7/28/2021,184435,5693
7/29/2021,192104,6167
7/30/2021,158696,6613
7/31/2021,114207,6509
8/1/2021,157521,5320
8/2/2021,158842,3185
8/3/2021,181159,4841
8/4/2021,183325,6590
8/5/2021,195300,7224
8/6/2021,157791,6599
8/7/2021,113554,6897
8/8/2021,188026,5733
8/9/2021,187276,4200
8/10/2021,179947,5624
8/11/2021,186054,6921
8/12/2021,160528,7267
8/13/2021,67262,7398
8/14/2021,28524,7181
8/15/2021,130530,5661
8/16/2021,133704,3669
8/17/2021,143837,5268
8/18/2021,129320,7159
8/19/2021,118516,7240
8/20/2021,80304,7220
8/21/2021,49908,7466
8/22/2021,150397,5922
8/23/2021,138817,4166
8/24/2021,132680,6078
8/25/2021,123624,7539
8/26/2021,117979,7215
8/27/2021,96888,7823
8/28/2021,68533,6858
8/29/2021,158245,5954
8/30/2021,145004,4253
8/31/2021,136099,5492
9/1/2021,122365,6496
9/2/2021,117833,6754
9/3/2021,100388,6729
9/4/2021,61566,6156
9/5/2021,108720,5314
9/6/2021,98208,3347
9/7/2021,95085,4715
9/8/2021,87940,5921
9/9/2021,86609,5518
9/10/2021,72844,5617
9/11/2021,48297,5191
9/12/2021,73501,4664
9/13/2021,70601,2792
